mcns_x,mcns_y,mcns_z,mcns_plot_x,mcns_plot_y,mcns_plot_z
478490.72,226572.52,288089.88,478177.5,230251.48,288089.88
115883.75,163757.52,239083.41,118403.09,152844.09,239083.41
560147.75,234494.19,179289.52,559448.0,241464.36,179289.52
367883.75,250454.97,146028.25,366696.31,249647.67,146028.25
321596.78,144923.98,102053.22,324708.88,142333.5,102053.22
419340.78,338419.97,291571.38,414558.97,339618.97,291571.38
409404.78,258440.31,248447.8,407860.97,259303.28,248447.8
388093.81,346136.0,255815.19,383025.84,346066.81,255815.19
342557.81,65226.68,149453.7,348871.34,63547.73,149453.7
137381.3,406800.94,302934.53,130067.97,396557.41,302934.53
277278.84,237158.36,125957.34,276702.28,232702.89,125957.34
452518.84,166916.42,277350.69,454636.0,169595.19,277350.69
539871.88,182205.41,303787.12,541300.31,188399.41,303787.12
456743.88,354629.84,236579.02,451276.88,357326.12,236579.02
124440.39,169239.11,228512.69,126731.41,158666.78,228512.69
365304.91,238683.05,163664.44,364594.97,237781.2,163664.44
461128.91,195913.52,232478.39,462068.0,198916.34,232478.39
607553.94,399247.03,280331.69,600162.06,407997.25,280331.69
205329.94,222903.33,240385.14,205387.77,215553.89,240385.14
557105.94,253396.53,211697.05,555645.31,260228.44,211697.05
380466.97,152962.17,238041.94,383206.44,152742.58,238041.94
280602.97,161023.22,178266.34,283098.38,156764.09,178266.34
376156.0,256883.91,228054.97,374702.19,256405.44,228054.97
472524.0,100565.87,251962.0,477304.38,104106.68,251962.0
370964.0,336740.38,301685.41,366289.44,335987.09,301685.41
416173.03,59284.45,151213.86,422666.47,60583.25,151213.86
360189.03,268164.25,305330.47,358292.69,267031.75,305330.47
280462.06,131832.88,269780.66,284136.41,127591.88,269780.66
279582.06,200583.41,142287.41,280480.69,196250.78,142287.41
164238.58,231061.41,188397.02,164000.47,222045.86,188397.02
90375.09,358114.34,272101.12,85066.28,346012.19,272101.12
442791.09,114760.12,231358.86,447022.5,117088.6,231358.86
135344.12,312384.84,309799.78,131845.39,302136.06,309799.78
384584.12,182836.19,229722.8,386113.81,182758.5,229722.8
80915.87,268297.12,328502.72,79242.03,255886.27,328502.72
405977.16,290841.22,286380.34,403127.69,291539.34,286380.34
251986.19,310052.75,312406.41,248486.5,304516.38,312406.41
306530.19,336948.69,257509.11,301899.81,333593.12,257509.11
441018.19,131815.72,258094.56,444562.25,134058.69,258094.56
382179.22,152289.16,140845.22,384944.47,152139.25,140845.22
284635.22,108029.14,289330.59,289267.47,103976.1,289330.59
584580.25,157399.47,240221.88,586974.0,165419.22,240221.88
336356.25,55968.61,167405.66,343048.75,54046.77,167405.66
456180.25,343964.25,243803.62,451144.47,346646.47,243803.62
539004.25,249999.58,261675.36,537695.62,256103.23,261675.36
503605.28,91543.28,237961.11,508724.66,96346.65,237961.11
502845.28,144120.83,146094.56,505841.97,148850.59,146094.56
654494.31,384795.66,274028.59,647647.75,395453.31,274028.59
274606.31,121645.65,277603.59,278696.84,117176.49,277603.59
590110.31,251835.47,297852.0,588685.81,260001.52,297852.0
314911.34,226580.84,295114.59,314731.25,223653.77,295114.59
513535.34,284947.44,190450.12,510836.09,289994.03,190450.12
351655.34,124042.41,172330.44,355586.22,122682.87,172330.44
559448.38,192571.28,136001.56,560442.25,199547.41,136001.56
421352.38,269501.25,133794.17,419352.12,270837.69,133794.17
129000.38,265475.62,293690.94,127401.2,255008.94,293690.94
328737.41,193989.17,296348.84,329862.22,191647.03,296348.84
310009.41,287103.0,235085.09,307389.19,283928.56,235085.09
317690.44,151666.12,167488.19,320533.44,148912.41,167488.19
122262.7,243039.08,209081.56,121575.12,232318.58,209081.56
584746.44,270984.59,296796.56,582553.0,278918.41,296796.56
296323.47,239369.33,184088.47,295642.09,235681.16,184088.47
334003.47,125465.0,269948.97,337891.31,123391.43,269948.97
482804.5,127801.06,237476.91,486476.56,131734.81,237476.91
234141.02,184110.28,141624.19,235741.97,177955.98,141624.19
601148.5,348279.59,298785.25,595820.19,356812.69,298785.25
297661.53,46459.71,230833.05,304769.56,42982.95,230833.05
408813.53,212906.14,281523.47,409109.09,213782.39,281523.47
162575.08,189469.92,305682.94,164017.97,180421.12,305682.94
180566.56,268355.84,308476.19,178809.02,259969.28,308476.19
84119.08,214300.28,323806.06,84623.22,202062.83,323806.06
68267.85,237696.53,317310.09,67840.06,224799.84,317310.09
412151.59,88570.37,111891.45,417465.62,89682.87,111891.45
431136.62,369046.53,197324.36,425108.34,370696.88,197324.36
427416.62,224666.44,268182.16,427222.06,226284.38,268182.16
325456.62,243825.69,220617.28,324571.5,241310.41,220617.28
484225.66,136064.14,230755.11,487562.88,140048.56,230755.11
402865.66,115791.34,181472.55,407087.97,116506.62,181472.55
301018.69,175442.45,173809.94,302915.12,171996.05,173809.94
168363.2,253472.94,293494.78,167216.66,244605.67,293494.78
297410.69,129058.16,250791.78,301183.25,125503.88,250791.78
302323.72,313403.16,196050.28,298647.62,309896.91,196050.28
148027.72,328739.06,321697.47,143858.19,318989.19,321697.47
462644.75,234480.94,299257.38,462025.09,237513.53,299257.38
498764.75,192130.59,235930.95,499825.94,196656.41,235930.95
495572.75,127916.34,127971.6,499229.75,132365.64,127971.6
291284.75,213578.03,231566.19,291649.06,209707.42,231566.19
301669.78,308008.91,193628.11,298212.06,304480.62,193628.11
196597.78,257331.58,221545.59,195272.38,249601.39,221545.59
700030.81,187009.2,256665.42,701134.62,199667.19,256665.42
542974.81,277688.19,322514.03,540544.69,283929.59,322514.03
556630.81,175800.7,257807.23,558304.25,182676.73,257807.23
325087.84,200776.92,224541.44,325941.53,198281.86,224541.44
430823.84,107257.29,240343.12,435367.97,109108.61,240343.12
98280.88,274307.28,228076.94,96350.09,262592.81,228076.94
540560.88,258815.48,198829.59,538894.94,264974.81,198829.59
175736.88,252155.12,334170.69,174637.53,243586.72,334170.69
421513.91,300533.81,316830.59,418260.31,301851.47,316830.59
418233.91,311591.28,316192.81,414536.44,312767.47,316192.81
464570.94,127879.0,279838.81,468254.75,131076.34,279838.81
365586.94,187412.95,160476.88,366947.28,186564.33,160476.88
275450.94,304497.84,213746.16,272156.44,299913.62,213746.16
290203.97,146485.97,242513.34,293278.62,142626.44,242513.34
56023.71,235657.83,274150.88,55688.25,222268.34,274150.88
708053.0,222378.72,252720.28,707721.88,235331.81,252720.28
415365.0,209741.73,112497.95,415783.0,210885.16,112497.95
474405.0,310875.09,202534.12,470690.62,314320.28,202534.12
515654.03,273556.72,173705.36,513413.06,278698.16,173705.36
276398.03,236004.16,129849.37,275868.81,231514.06,129849.37
396191.06,291807.69,292895.5,393310.53,292109.81,292895.5
660823.06,278508.44,207671.8,658263.69,289508.38,207671.8
696543.06,172002.31,306461.94,698255.75,184531.7,306461.94
74908.35,199439.73,263171.53,76020.16,186842.44,263171.53
454656.09,326154.06,281499.03,450340.81,328789.25,281499.03
444969.12,64683.49,157510.22,451221.03,67140.78,157510.22
384105.12,93337.91,137867.8,389249.5,93313.88,137867.8
585713.12,145201.12,295305.59,588598.56,153276.59,295305.59
98246.41,269860.84,229248.22,96495.25,258148.58,229248.22
208922.16,216404.58,332375.47,209239.52,209205.52,332375.47
638299.19,152634.11,214942.06,640841.56,162827.16,214942.06
101531.7,185273.98,244869.67,103193.84,173763.41,244869.67
184306.67,226089.28,213474.28,184252.98,217888.22,213474.28
416828.22,329471.31,141264.62,412409.81,330576.16,141264.62
422740.22,257581.86,261352.62,421220.22,258984.08,261352.62
544317.25,109147.41,157099.81,548692.5,115580.53,157099.81
474133.25,54839.13,243195.42,480758.94,58482.23,243195.42
380829.25,155813.83,140405.05,383453.28,155606.53,140405.05
221030.28,256182.31,229144.23,219731.34,249439.75,229144.23
422935.31,264223.09,135742.05,421146.94,265627.78,135742.05
556295.31,286779.91,306116.72,553487.25,293551.84,306116.72
209806.8,128886.96,209250.91,213657.73,121795.02,209250.91
518312.34,119126.83,126471.97,522305.78,124501.62,126471.97
210544.34,96161.29,195202.69,215716.3,89125.83,195202.69
564073.38,271591.62,210070.28,561872.25,278690.06,210070.28
578593.38,286182.91,207482.03,575791.19,293855.81,207482.03
670401.38,261139.78,318274.16,668535.62,272540.75,318274.16
312177.38,289994.88,224711.86,309438.59,286905.66,224711.86
294418.41,231001.58,166096.67,294076.5,227243.3,166096.67
432371.44,171448.98,170704.19,434321.97,173310.42,170704.19
213850.92,336989.5,270946.19,209294.52,329891.09,270946.19
423283.44,337269.94,255723.34,418544.81,338629.06,255723.34
155610.92,215358.92,262171.09,156014.0,206007.75,262171.09
364940.47,260937.12,256090.52,363332.12,260002.41,256090.52
377332.47,144536.02,223342.86,380414.75,144196.69,223342.86
291077.5,66872.62,170310.83,297366.56,63113.33,170310.83
629573.5,317778.97,195418.11,625453.75,327484.91,195418.11
699773.5,177196.39,306569.22,701273.75,189851.98,306569.22
345622.53,205930.62,298851.88,346251.31,204260.64,298851.88
504406.53,135436.52,272390.41,507752.62,140236.44,272390.41
237967.05,232903.81,135164.52,237594.39,226864.22,135164.52
429887.56,252719.97,248617.2,428558.06,254414.8,248617.2
373711.56,134557.0,217968.5,377199.81,134079.59,217968.5
356760.59,121766.42,256544.23,360779.22,120614.91,256544.23
454832.59,334729.03,175309.11,450170.88,337364.34,175309.11
