x,y,z,x_sym,y_sym,z_sym
612200,315853,140000,1659527,272267,230720
612200,315853,160000,1657750,272330,250589
612200,315853,180000,1655974,272393,270457
612200,315853,200000,1654197,272456,290326
612200,335853,60000,1667851,291971,151336
612200,335853,80000,1666074,292034,171205
612200,335853,100000,1664298,292097,191073
612200,335853,120000,1662521,292160,210942
612200,335853,140000,1660745,292224,230810
612200,335853,160000,1658968,292287,250679
612200,335853,180000,1657191,292350,270547
612200,355853,80000,1667292,311991,171295
612200,355853,100000,1665515,312054,191163
612200,355853,120000,1663739,312117,211032
612200,355853,140000,1661962,312180,230900
612200,355853,160000,1660186,312244,250769
632200,95853,100000,1669512,51201,192939
632200,95853,120000,1667736,51264,212808
632200,95853,140000,1665959,51327,232676
632200,95853,160000,1664182,51390,252545
632200,115853,80000,1672507,71094,173161
632200,115853,100000,1670730,71157,193029
632200,115853,120000,1668953,71221,212898
632200,115853,140000,1667177,71284,232766
632200,115853,160000,1665400,71347,252635
632200,115853,180000,1663623,71410,272504
632200,135853,60000,1675501,90988,153382
632200,135853,80000,1673724,91051,173251
632200,135853,100000,1671948,91114,193120
632200,135853,120000,1670171,91177,212988
632200,135853,140000,1668394,91241,232857
632200,135853,160000,1666618,91304,252725
632200,135853,180000,1664841,91367,272594
632200,135853,200000,1663064,91430,292462
632200,155853,40000,1678495,110881,133604
632200,155853,60000,1676718,110945,153473
632200,155853,80000,1674942,111008,173341
632200,155853,100000,1673165,111071,193210
632200,155853,120000,1671388,111134,213078
632200,155853,140000,1669612,111197,232947
632200,155853,160000,1667835,111260,252815
632200,155853,180000,1666058,111324,272684
632200,155853,200000,1664282,111387,292552
632200,175853,40000,1679713,130838,133694
632200,175853,60000,1677936,130901,153563
632200,175853,80000,1676159,130964,173431
632200,175853,100000,1674383,131028,193300
632200,175853,120000,1672606,131091,213168
632200,175853,140000,1670829,131154,233037
632200,175853,160000,1669053,131217,252905
632200,175853,180000,1667276,131280,272774
632200,175853,200000,1665499,131343,292642
632200,195853,40000,1680930,150795,133784
632200,195853,60000,1679153,150858,153653
632200,195853,80000,1677377,150921,173521
632200,195853,100000,1675600,150984,193390
632200,195853,120000,1673824,151047,213258
632200,195853,140000,1672047,151111,233127
632200,195853,160000,1670270,151174,252995
632200,195853,180000,1668494,151237,272864
632200,195853,200000,1666717,151300,292732
632200,215853,20000,1683924,170688,114006
632200,215853,40000,1682148,170752,133874
632200,215853,60000,1680371,170815,153743
632200,215853,80000,1678594,170878,173611
632200,215853,100000,1676818,170941,193480
632200,215853,120000,1675041,171004,213348
632200,215853,140000,1673264,171067,233217
632200,215853,160000,1671488,171131,253085
632200,215853,180000,1669711,171194,272954
632200,215853,200000,1667935,171257,292822
632200,215853,220000,1666158,171320,312691
632200,235853,20000,1685142,190645,114096
632200,235853,40000,1683365,190708,133965
632200,235853,60000,1681589,190771,153833
632200,235853,80000,1679812,190835,173702
632200,235853,100000,1678035,190898,193570
632200,235853,120000,1676259,190961,213439
632200,235853,140000,1674482,191024,233307
632200,235853,160000,1672705,191087,253176
632200,235853,180000,1670929,191150,273044
632200,235853,200000,1669152,191214,292913
632200,255853,20000,1686359,210602,114186
632200,255853,40000,1684583,210665,134055
632200,255853,60000,1682806,210728,153923
632200,255853,80000,1681030,210791,173792
632200,255853,100000,1679253,210854,193660
632200,255853,120000,1677476,210918,213529
632200,255853,140000,1675700,210981,233397
632200,255853,160000,1673923,211044,253266
632200,255853,180000,1672146,211107,273134
632200,255853,200000,1670370,211170,293003
632200,275853,40000,1685800,230622,134145
632200,275853,60000,1684024,230685,154013
632200,275853,80000,1682247,230748,173882
632200,275853,100000,1680470,230811,193750
632200,275853,120000,1678694,230874,213619
632200,275853,140000,1676917,230937,233487
632200,275853,160000,1675140,231001,253356
632200,275853,180000,1673364,231064,273224
632200,275853,200000,1671587,231127,293093
