x,y,z,x_sym,y_sym,z_sym
592200,295853,140000,582516,290454,150898
592200,295853,160000,581121,290934,168965
592200,295853,180000,578620,290407,188434
592200,295853,200000,578088,288976,209295
592200,315853,80000,595197,305410,86962
592200,315853,100000,591152,308477,107202
592200,315853,120000,585065,310573,128455
592200,315853,140000,582210,310396,147278
592200,315853,160000,580115,310464,168159
592200,315853,180000,579127,307093,189422
592200,315853,200000,578689,308859,207158
592200,335853,80000,594412,327527,88215
592200,335853,100000,592757,328573,108496
592200,335853,120000,588546,328220,128754
592200,335853,140000,584086,331007,148277
592200,335853,160000,581289,330339,168113
592200,335853,180000,580704,331282,186579
592200,355853,120000,590227,346670,130269
592200,355853,140000,587267,350141,149766
592200,355853,160000,585006,352032,169041
612200,95853,100000,598220,86785,109128
612200,95853,120000,595243,88101,133194
612200,115853,80000,601988,106297,95593
612200,115853,100000,600259,107526,111798
612200,115853,120000,597450,108443,135229
612200,115853,140000,592352,111316,154352
612200,135853,60000,605676,126810,82248
612200,135853,80000,604417,126241,100263
612200,135853,100000,602028,126208,117581
612200,135853,120000,598134,127390,133638
612200,135853,140000,593917,130536,155229
612200,135853,160000,592970,127845,173132
612200,135853,180000,593893,132134,189962
612200,155853,40000,608868,149255,61330
612200,155853,60000,607815,147810,80043
612200,155853,80000,605363,146008,101286
612200,155853,100000,602746,146013,116604
612200,155853,120000,599784,147765,134867
612200,155853,140000,597515,148881,156362
612200,155853,160000,595668,148551,175495
612200,155853,180000,594938,152180,193651
612200,155853,200000,594558,151480,212306
612200,175853,40000,611513,168496,58846
612200,175853,60000,609658,168182,77853
612200,175853,80000,607076,168637,101219
612200,175853,100000,603907,167298,117565
612200,175853,120000,600879,168829,136395
612200,175853,140000,596852,170873,155149
612200,175853,160000,596157,170794,174378
612200,175853,180000,595593,170902,194344
612200,195853,60000,614123,189228,80262
612200,195853,80000,611277,187629,101471
612200,195853,100000,607674,186912,120854
612200,195853,120000,603819,188577,138978
612200,195853,140000,600465,188885,154699
612200,195853,160000,597211,190018,174137
612200,195853,180000,596514,190872,195120
612200,215853,20000,611124,206692,37477
612200,215853,40000,609052,215119,59518
612200,215853,60000,615099,211559,76744
612200,215853,80000,612853,207145,98913
612200,215853,100000,609516,206108,119996
612200,215853,120000,607260,209884,137095
